Rotate object [22] SIDE STRUT PIN from (302.7, 105.1, 32.4) to (270.2, 126.4, 12.2). Current rotation is (302.3, 105.1, 32.4)
Rotate object [22] SIDE STRUT PIN from (302.3, 105.1, 32.4) to (270.2, 126.4, 12.2). Current rotation is (301.9, 105.1, 32.4)
Rotate object [22] SIDE STRUT PIN from (301.9, 105.1, 32.4) to (270.2, 126.4, 12.2). Current rotation is (301.4, 105.1, 32.5)
Rotate object [22] SIDE STRUT PIN from (301.4, 105.1, 32.5) to (270.2, 126.4, 12.2). Current rotation is (301.0, 105.1, 32.5)
Rotate object [22] SIDE STRUT PIN from (301.0, 105.1, 32.5) to (270.2, 126.4, 12.2). Current rotation is (300.6, 105.1, 32.5)
Rotate object [22] SIDE STRUT PIN from (300.6, 105.1, 32.5) to (270.2, 126.4, 12.2). Current rotation is (300.1, 105.1, 32.5)
Rotate object [22] SIDE STRUT PIN from (300.1, 105.1, 32.5) to (270.2, 126.4, 12.2). Current rotation is (299.7, 105.1, 32.5)
Rotate object [22] SIDE STRUT PIN from (299.7, 105.1, 32.5) to (270.2, 126.4, 12.2). Current rotation is (299.3, 105.2, 32.5)
Rotate object [22] SIDE STRUT PIN from (299.3, 105.2, 32.5) to (270.2, 126.4, 12.2). Current rotation is (298.9, 105.2, 32.5)
Rotate object [22] SIDE STRUT PIN from (298.9, 105.2, 32.5) to (270.2, 126.4, 12.2). Current rotation is (298.4, 105.2, 32.5)
Rotate object [22] SIDE STRUT PIN from (298.4, 105.2, 32.5) to (270.2, 126.4, 12.2). Current rotation is (298.0, 105.2, 32.5)
Rotate object [22] SIDE STRUT PIN from (298.0, 105.2, 32.5) to (270.2, 126.4, 12.2). Current rotation is (297.6, 105.2, 32.5)
Rotate object [22] SIDE STRUT PIN from (297.6, 105.2, 32.5) to (270.2, 126.4, 12.2). Current rotation is (297.1, 105.2, 32.5)
Rotate object [22] SIDE STRUT PIN from (297.1, 105.2, 32.5) to (270.2, 126.4, 12.2). Current rotation is (296.7, 105.2, 32.5)
Rotate object [22] SIDE STRUT PIN from (296.7, 105.2, 32.5) to (270.2, 126.4, 12.2). Current rotation is (296.3, 105.2, 32.5)
Rotate object [22] SIDE STRUT PIN from (296.3, 105.2, 32.5) to (270.2, 126.4, 12.2). Current rotation is (295.8, 105.2, 32.5)
Rotate object [22] SIDE STRUT PIN from (295.8, 105.2, 32.5) to (270.2, 126.4, 12.2). Current rotation is (295.4, 105.2, 32.5)
